# Tile ,NCCS_ID,Status,RA,Dec,Vmag,err_Vmag,Rmag,Imag,VFWHM,RFWHM,IFWHM,?,?,?,?,Quality ,Redshift,Distance,,,,My favorite H0=74.03 km*s^-1*Mpc^-1,,C=2.99E8 m/s
tile04h48m+89d12m,3695402,3,101.70982,89.01217,17.35,0.03,16.7,16.21,1.517,1.991,1.875,0,0,3,2,1,0.0167,67.4496825611239,,,,,,
tile13h12m+87d18m,445406,3,203.70831,86.95203,15.155,0.007,14.728,14.2,3.024,4.374,4.285,0,0,0,3,3,0.017,68.6613535053357,,,,,,
tile19h12m+88d30m,439309,3,278.23662,88.25638,16.642,0.01,15.95,15.278,1.404,2.566,2.714,0,0,0,2,5,0.0182,73.5080372821829,,,,,,
tile21h36m+87d06m,1510873,3,318.57407,87.30615,15.913,0.008,15.136,14.386,4.928,6.224,7.044,0,0,0,3,5,0.0184,74.3158179116574,,,,,,
tile09h36m+89d12m,2344515,3,175.1589,89.08503,15.079,0.009,14.779,14.019,2.689,4.288,4.092,2,3,3,3,3,0.0184,74.3158179116574,,,,,,
tile04h48m+88d30m,2678217,3,83.86428,88.53292,17.06,0.045,15.947,15.123,2.086,3.164,3.061,0,0,0,2,5,0.0187,75.5274888558692,,,,,,
tile09h36m+87d48m,1664645,3,136.67011,87.53498,17.198,0.014,16.394,15.879,4.067,5.801,4.887,2,0,0,3,4,0.0187,75.5274888558692,,,,,,
tile18h00m+88d00m,2456679,3,271.6497,87.80952,15.018,0.012,14.133,13.456,2.919 1,6.667,15.551,0,0,0,3,3,0.0188,75.9313791706065,,,,,,
tile21h36m+87d48m,2478770,3,314.71049,87.57041,17.963,0.035,17.286,16.547,2.838,3.697,4.399,0,0,0,3,5,0.0189,76.3352694853438,,,,,,
tile18h00m+88d00m,754528,3,273.86803,87.99372,18.651,0.101,18.448,17.58,1.955,1.947,2.351,2,3,0,2,1,0.0189,76.3352694853438,,,,,,
tile18h00m+88d00m,430517,3,268.17169,88.28606,18.534,0.088,18.506,18.749,3.075,3.105,1.499,0,2,0,2,5,0.019,76.739159800081,,,,,,
tile20h24m+88d00m,1455047,3,316.39064,87.92102,17.478,0.033,17.056,16.452,3.72,5.662,5.587,0,2,2,3,5,0.019,76.739159800081,,,,,,
