No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
137,WISEA J083731.44+860628.2,129.38104,86.10778,G,18858,0.062905,PHOT,     ,0,1,0,27,4,1,2,0
138,WISEA J084734.43+883605.7,131.89746,88.6015,G,19653,0.065557,PHOT,     ,0,1,0,35,6,1,2,0
139,WISEA J084931.32+861045.3,132.37975,86.17925,G,19450,0.064879,PHOT,     ,0,1,0,27,4,1,2,0
140,WISEA J085209.25+884551.8,133.03438,88.76433,G,15715,0.052419,PHOT,     ,0,1,0,27,4,1,2,0
141,WISEA J090536.22+862826.9,136.40003,86.47375,G,9895,0.033007,PHOT,17.62,0,2,0,31,5,1,2,0
142,WISEA J091323.79+873449.3,138.35475,87.58069,G,20291,0.067684,PHOT,     ,0,1,0,27,4,1,2,0
143,WISEA J091411.20+861130.4,138.54708,86.19175,G,8311,0.027722,PHOT,     ,0,2,0,33,5,1,2,0
144,WISEA J091553.87+864455.5,138.975,86.74867,G,15108,0.050396,PHOT,     ,0,1,0,27,4,1,2,0
145,WISEA J092016.71+860300.4,140.06971,86.05011,G,16247,0.054193,PHOT,     ,0,6,0,31,6,1,2,0
146,WISEA J092331.32+893627.6,140.88075,89.60769,G,11615,0.038743,PHOT,     ,0,1,0,25,4,1,2,0
147,2MFGC 07381,142.77046,87.88614,G,15695,0.052353,PHOT,11.9K,0,2,0,27,4,1,2,0
148,WISEA J095135.03+881115.0,147.89388,88.18733,G,19269,0.064274,PHOT,17.68,0,2,0,31,5,1,2,0
149,WISEA J095335.69+880551.2,148.39917,88.09744,G,16554,0.055219,PHOT,     ,0,1,0,27,4,1,2,0
150,UGC 05083A,149.131,88.17217,G,3919,0.013072,    ,15,0,8,0,31,7,2,5,0
151,WISEA J095719.46+861006.4,149.33042,86.16886,G,14333,0.047809,PHOT,     ,0,1,0,26,4,1,2,0
152,WISEA J095936.91+873117.2,149.90308,87.52136,G,20756,0.069234,PHOT,     ,0,1,0,35,6,1,2,0
153,WISEA J100106.71+882302.0,150.27812,88.38381,G,20916,0.069767,PHOT,     ,0,1,0,27,4,1,2,0
154,MCG +15-01-008,150.65165,89.03103,G,4853,0.016188,    ,16,0,16,0,41,9,3,4,0
155,MCG +14-05-009,151.54563,86.29526,G,5858,0.01954,    ,16,0,12,0,32,6,3,4,0
156,WISEA J100801.56+881634.4,152.0065,88.27625,G,16125,0.053788,PHOT,     ,0,1,0,27,4,1,2,0
157,WISEA J101006.72+885803.9,152.53387,88.96794,G,10234,0.034136,PHOT,     ,0,1,0,27,4,1,2,0
158,WISEA J102406.62+891932.2,156.03367,89.32553,G,20301,0.067717,PHOT,     ,0,1,0,27,4,1,2,0
159,WISEA J103251.38+882505.1,158.21325,88.41811,G,14013,0.046741,PHOT,     ,0,1,0,27,4,1,2,0
160,WISEA J103617.88+880930.6,159.07671,88.15853,G,16134,0.053817,PHOT,     ,0,1,0,25,4,1,2,0
161,WISEA J104315.25+882025.4,160.81296,88.34039,G,16726,0.055793,PHOT,     ,0,1,0,27,4,1,2,0
162,WISEA J104328.61+882153.0,160.86617,88.36536,G,18972,0.063284,PHOT,     ,0,1,0,27,4,1,2,0
163,WISEA J110126.22+872756.3,165.36062,87.46561,G,14295,0.047682,PHOT,     ,0,1,0,27,4,1,2,0
164,WISEA J110414.97+881731.2,166.06271,88.29194,G,13718,0.045758,PHOT,     ,0,1,0,27,4,1,2,0
165,WISEA J110514.71+872256.5,166.31067,87.38228,G,15671,0.052274,PHOT,     ,0,1,0,27,4,1,2,0
166,WISEA J110752.56+873018.8,166.96854,87.50508,G,14595,0.048685,PHOT,     ,0,1,0,27,4,1,2,0
167,WISEA J110804.82+874125.0,167.02404,87.69022,G,18925,0.063126,PHOT,     ,0,1,0,38,5,1,2,0
168,WISEA J111247.85+872821.5,168.198,87.47261,G,15011,0.050071,    ,11.1K,0,4,0,27,4,3,2,0
169,WISEA J111633.49+874129.3,169.13596,87.69153,G,15206,0.050721,PHOT,     ,0,1,0,27,4,1,2,0
170,WISEA J111645.84+865425.6,169.19296,86.90722,G,13062,0.043569,PHOT,     ,0,1,0,27,4,1,2,0
171,WISEA J111828.19+860545.4,169.61542,86.09633,G,13455,0.04488,PHOT,     ,0,1,0,27,4,1,2,0
172,WISEA J112446.97+883553.3,171.19275,88.59806,G,19532,0.065152,PHOT,     ,0,1,0,27,4,1,2,0
173,WISEA J112927.47+881736.0,172.36575,88.29336,G,17556,0.058561,PHOT,     ,0,1,0,27,4,1,2,0
174,WISEA J113353.92+881550.9,173.47392,88.26417,G,14515,0.048417,PHOT,     ,0,1,0,27,4,1,2,0
175,WISEA J113644.81+860903.8,174.1865,86.15108,G,17030,0.056807,PHOT,     ,0,1,0,27,4,1,2,0
176,WISEA J113847.47+881536.7,174.69829,88.26025,G,20464,0.068261,PHOT,     ,0,1,0,27,4,1,2,0
177,WISEA J113857.20+882119.0,174.7385,88.35533,G,20205,0.067395,PHOT,     ,0,3,0,32,5,1,2,0
178,MCG +15-01-010,175.1675,89.085,G,10587,0.035316,PHOT,16,0,9,0,27,4,1,4,0
179,FGC 1294,176.03708,86.16361,G,3953,0.013186,    ,17.1,0,9,0,13,4,2,0,0
180,WISEA J114524.67+862049.3,176.35229,86.34711,G,20805,0.069397,PHOT,     ,0,1,0,27,4,1,2,0
181,WISEA J114549.39+881030.8,176.45587,88.17522,G,16158,0.053898,PHOT,     ,0,1,0,27,4,1,2,0
182,WISEA J114654.86+882643.7,176.72663,88.4455,G,16817,0.056097,PHOT,     ,0,1,0,27,4,1,2,0
183,NGC 3172,176.80832,89.09304,G,6096,0.020334,    ,14.9,0,17,0,29,6,4,4,0
184,WISEA J114725.72+861958.2,176.85421,86.33308,G,19200,0.064045,PHOT,     ,0,1,0,27,4,1,2,0
185,WISEA J114849.20+865207.2,177.20667,86.86892,G,20628,0.068807,PHOT,     ,0,1,0,27,4,1,2,0
186,WISEA J114923.04+881706.5,177.34771,88.28514,G,19000,0.063378,PHOT,     ,0,1,0,27,4,1,2,0
187,WISEA J115017.19+881219.4,177.57236,88.20521,G,15880,0.05297,    ,17.27,0,7,0,29,4,3,2,2
188,WISEA J115222.50+881213.8,178.08693,88.2038,G,11479,0.038289,PHOT,17.88,0,2,0,27,4,1,2,0
189,WISEA J115504.53+863851.0,178.76638,86.64767,G,19682,0.065653,PHOT,     ,0,1,0,27,4,1,2,0
190,WISEA J115724.61+880810.1,179.35367,88.13619,G,15149,0.05053,PHOT,     ,0,1,0,27,4,1,2,0
191,WISEA J115952.51+880352.1,179.96762,88.06453,G,19889,0.066344,PHOT,     ,0,1,0,27,4,1,2,0
192,MCG +14-06-004,179.97254,86.20959,G,5977,0.019937,    ,16,0,12,0,29,5,3,4,0
193,CGCG 370-003,180.17421,88.13675,G,6028,0.020107,    ,15,0,20,0,41,10,5,4,0
194,WISEA J120202.73+881043.6,180.50902,88.17866,G,16652,0.055544,PHOT,17.63,0,2,0,27,4,1,2,0
195,WISEA J121508.41+870825.0,183.78392,87.14028,G,18445,0.061526,PHOT,     ,0,1,0,27,4,1,2,0
196,WISEA J121559.97+881740.1,183.99779,88.29456,G,18061,0.060246,PHOT,     ,0,1,0,27,4,1,2,0
197,WISEA J121733.95+870847.6,184.39108,87.14647,G,15879,0.052968,PHOT,     ,0,1,0,27,4,1,2,1
198,WISEA J121736.44+861547.6,184.40233,86.26333,G,14381,0.04797,PHOT,     ,0,1,0,27,4,1,2,0
199,WISEA J121924.94+864732.3,184.85429,86.79236,G,7738,0.025811,    ,11.0K,0,5,0,27,4,3,2,0
200,WISEA J122248.44+864230.6,185.70225,86.70847,G,20655,0.068897,PHOT,     ,0,1,0,27,4,1,2,0
201,WISEA J122620.74+882411.4,186.58247,88.40305,G,13087,0.043655,PHOT,17.48,0,2,0,27,4,1,2,0
202,WISEA J122954.00+871809.9,187.47342,87.30269,G,16567,0.05526,PHOT,     ,0,2,0,34,5,1,2,0
203,WISEA J123002.33+870709.9,187.50933,87.11953,G,18911,0.06308,PHOT,     ,0,1,0,27,4,1,2,0
204,WISEA J124001.10+875635.4,190.00554,87.94317,G,18849,0.062873,PHOT,     ,0,1,0,27,4,1,2,0
205,WISEA J124158.46+881231.7,190.49396,88.20847,G,20013,0.066755,PHOT,     ,0,1,0,27,4,1,2,0
206,WISEA J124238.80+865807.2,190.66137,86.96878,G,20655,0.068897,PHOT,     ,0,1,0,27,4,1,2,0
207,UGC 07956A,191.78583,87.78745,G,15614,0.052083,    ,16,0,9,0,27,5,3,5,0
208,WISEA J124731.77+864804.8,191.88446,86.80114,G,16392,0.054677,PHOT,     ,0,1,0,31,5,1,2,0
209,MCG +15-01-014,193.24004,87.32506,G,11188,0.037318,PHOT,17,0,4,0,31,5,1,3,0
210,WISEA J125527.20+861207.9,193.86271,86.20239,G,10759,0.035888,PHOT,16.19,0,4,0,32,5,1,2,0
211,WISEA J125914.44+873024.9,194.80937,87.50703,G,17499,0.058371,PHOT,13.71,0,1,0,28,4,1,2,0
212,WISEA J130129.73+863006.6,195.3735,86.50164,G,20574,0.068627,PHOT,     ,0,1,0,30,5,1,2,0
213,2MASX J13062686+8806536,196.61417,88.11492,G,20120,0.067112,PHOT,     ,0,1,0,15,3,1,2,0
214,WISEA J131557.75+875134.6,198.98625,87.85958,G,19635,0.065494,PHOT,     ,0,1,0,29,5,1,2,0
215,NSC J132515+861212,201.31338,86.20328,GClstr,19247,0.0642,PHOT,     ,0,1,0,0,1,1,0,0
216,NSC J132531+862147,201.38304,86.36292,GClstr,18797,0.0627,PHOT,     ,0,2,0,0,1,1,0,0
217,WISEA J132906.18+872330.6,202.27573,87.39167,G,17520,0.058439,PHOT,17.89,0,2,0,31,5,1,2,0
218,WISEA J133351.22+880207.4,203.46219,88.03537,G,15476,0.051623,PHOT,17.29,0,2,0,27,4,1,2,0
219,WISEA J133437.76+871607.2,203.66125,87.26839,G,18855,0.062894,PHOT,     ,0,1,0,31,5,1,2,0
220,CGCG 370-004,203.71154,86.95181,G,5199,0.017342,    ,15.5,0,7,0,31,7,3,2,0
